"Concentración de colágeno (Scl2-SpyTag) en uM;Concentración de elastina (ELP-SpyCatcher) en uM;% de producto (eficiencia de bioconjugación)"
"0.5;2.5;11.87"
"1;2;23.55"
"1.5;1.5;31.89"
"2;1;37.94"
"2.5;0.5;36.95"
"0.5;0.5;44.76"
"5;5;54.95"
"0.5;0.5;16.51"
"0.5;0.5;23.85"
"5;5;44.69"
"5;5;50.34"
"0.95;1.2;27.49"
"0.95;3.6;2.94"
"0.95;4.8;4.71"
"1.9;1.2;65.99"
"1.9;3.6;50.95"
"1.9;4.8;5.29"
"2.84;2.4;50.84"
"2.84;3.6;82.73"
"2.84;4.8;26.45"
"3.8;1.2;74.35"
"3.8;2.4;74.55"
"3.8;4.8;41.6"
"2;2;66.92"
"3;3;79.74"
